image_filename,fabric_name,country_of_origin,color_scheme,image_type,cultural_use,notes,motif_type,material
faso_dan_fani_01.jpg,Faso Dan Fani,Burkina Faso,"White, Blue",Flat,Everyday wear,Narrow horizontal stripes,"Stripes, Blocks",Cotton (handwoven)
faso_dan_fani_02.jpg,Faso Dan Fani,Burkina Faso,"Purple, White",Flat,Ceremonial,Woven by hand in Bobo-Dioulasso,"Stripes, Blocks",Cotton (handwoven)
faso_dan_fani_03.jpg,Faso Dan Fani,Burkina Faso,"Black, Teal, White",Close-up,Ceremonial,Variant with border motif,"Stripes, Blocks",Cotton (handwoven)
faso_dan_fani_04.jpg,Faso Dan Fani,Burkina Faso,"Yellow, Black",Worn,Traditional,Male outfit for national event,"Stripes, Blocks",Cotton (handwoven)
faso_dan_fani_05.jpg,Faso Dan Fani,Burkina Faso,"Red, Green",Worn,Ceremonial,Worn at Bobo Week fashion show,"Stripes, Blocks",Cotton (handwoven)
faso_dan_fani_06.jpg,Faso Dan Fani,Burkina Faso,"Pink, Black",Worn,Modern fashion,Fusion design with vertical lines,"Stripes, Blocks",Cotton (handwoven)
faso_dan_fani_07.jpg,Faso Dan Fani,Burkina Faso,"Blue, White",Flat,Formal,Symmetrical stripe pattern,"Stripes, Blocks",Cotton (handwoven)
faso_dafani_sample_8.jpg,Faso Dan Fani,Burkina Faso,"Red, Gold",Worn,"Ceremonial, Traditional Leadership","Rich embroidery, worn with cap and staff","Vertical stripes, Embroidery",Cotton (handwoven)
faso_dafani_sample_9.jpg,Faso Dan Fani,Burkina Faso,"White, Blue",Worn,Modern casual wear,"Minimal embroidery, bright background",Vertical stripes,Cotton (handwoven)
faso_dafani_sample_10.jpg,Faso Dan Fani,Burkina Faso,"Green, Orange, Beige",Worn,"Ceremonial (weddings, engagement)",Worn with head wrap and traditional beads,Diagonal stripes,Cotton blend
faso_dafani_sample_11.jpg,Faso Dan Fani,Burkina Faso,"Black, Yellow",Worn,Ceremonial or prestige events,"Bold vertical gold patterns, agbada style","Vertical stripes, Embroidery",Cotton (handwoven)
faso_dafani_sample_12.jpg,Faso Dan Fani,Burkina Faso,"White, Yellow, Black",Flat,Everyday wear and tailoring,"Presented laid flat, folded sleeves",Narrow vertical stripes,Cotton (handwoven)
faso_dafani_sample_13.jpg,Faso Dan Fani,Burkina Faso,"White, Yellow, Green, Blue",Worn,Modern interpretation of traditional attire,Photographed on green background,Multicolor vertical stripes,Cotton (handwoven)
faso_dafani_sample_14.jpg,Faso Dan Fani,Burkina Faso,"Blue, Black, White",Worn,Formal events,Model wearing traditional dress and beads,Stripes,Cotton blend
faso_dafani_sample_15.jpg,Faso Dan Fani,Burkina Faso,"Black, Purple, White",Flat,Tailoring / Cloth sales,Rolled and laid fabric view,Horizontal and vertical stripes,Cotton (handwoven)
faso_dafani_sample_16.jpg,Faso Dan Fani,Burkina Faso,"Blue, White",Flat,Tailoring / Cloth sales,Rolled and laid diagonally,Diagonal lines,Cotton (handwoven)
faso_dafani_sample_17.jpg,Faso Dan Fani,Burkina Faso,"Black, Yellow, Red, White",Flat,Festive wear,"Warm color palette, dynamic stripe thickness",Stripes,Cotton (handwoven)
faso_dafani_sample_18.jpg,Faso Dan Fani,Burkina Faso,"White, Yellow, Black",Flat,Formal,Elegant composition with horizontal woven details,Stripes,Cotton (handwoven)
kente_sample_1.jpg,Kente,Ghana,"Yellow, Red, Blue",Worn,Royal ceremony,Classic Ashanti wrap with traditional beads,"Geometric blocks, Zigzag, Rectangles",Cotton (loom-woven)
kente_sample_2.jpg,Kente,Ghana,"Purple, Cream",Worn,Modern pride walk,Contemporary take with hat and beads,"Geometric blocks, Zigzag, Rectangles",Cotton (loom-woven)
kente_sample_3.jpg,Kente,Ghana,"Purple, Yellow",Worn,Cultural photography,Regal style worn by woman with accessories,"Geometric blocks, Zigzag, Rectangles",Cotton (loom-woven)
kente_sample_4.jpg,Kente,Ghana,"Orange, White, Purple",Close-up,Design study,Lightning bolt motifs,"Geometric blocks, Zigzag, Rectangles",Cotton (loom-woven)
kente_sample_5.jpg,Kente,Ghana,"Yellow, Green, Black",Close-up,Traditional design,Rich symbolic geometric blocks,"Geometric blocks, Zigzag, Rectangles",Cotton (loom-woven)
kente_sample_6.jpg,Kente,Ghana,"Teal, White, Yellow",Close-up,Modern textile variant,Symmetrical horizontal layout,"Geometric blocks, Zigzag, Rectangles",Cotton (loom-woven)
kente_sample_7.jpg,Kente,Ghana,"Orange, Green, Maroon",Close-up,Museum-style archive,High-density pattern structure,"Geometric blocks, Zigzag, Rectangles",Cotton (loom-woven)
kente_sample_9.jpg,Kente,Ghana,"Blue, Red, Yellow, Green",Worn,Royal occasion / Heritage shoot,Man dressed in a traditional Ashanti wrap with bold gold jewelry,"Geometric blocks, Zigzag, Diamond, Triangle",Cotton (loom-woven)
kente_sample_10.jpg,Kente,Ghana,"Yellow, Red, Green, Blue, Black",Flat cloth,General-purpose traditional cloth,Block-printed version with repeating geometric motifs,"Stairs, Stripes, Triangles",Cotton (block print imitation)
kente_sample_11.jpg,Kente,Ghana,"Red, Yellow, Green, Black",Worn,Runway / Cultural fashion event,Modern kente interpretation with sashes and jewelry,"Checkerboard, Zigzag, Stripe",Cotton (loom-woven)
kente_sample_12.jpg,Kente,Ghana,"Yellow, Blue, Green, Black",Flat cloth,Traditional celebrations,Alternating checkerboard and triangle patterns,"Checkerboard, Triangles, Lines",Cotton (loom-woven)
kente_sample_13.jpg,Kente,Ghana,"Orange, Blue, Black, Green",Flat cloth,Ceremonial attire,High pattern density with center motifs and vertical symmetry,"Chevron, Diamond, Zigzag",Cotton (loom-woven)
kente_sample_14.jpg,Kente,Ghana,"Orange, Blue, Green, Black",Flat cloth,Traditional fabric for tailored garments,"Vertical motifs separated by bands, iconic chevron triangles","Chevron, Lines, Vertical bands",Cotton (loom-woven)
kente_sample_15.jpg,Kente,Ghana,"Green, Yellow, Purple",Worn,Cultural photo shoot,Styled as crop top and skirt with accessories,"Zigzag, Triangles, Vertical Stripes",Cotton (loom-woven)
kente_sample_16.jpg,Kente,Ghana,"Green, Yellow, Orange, Blue",Worn,Cultural modeling / Heritage event,"Kente wrap styled with beads and pot, vibrant contrast","Checkerboard, Diamond, Stripe",Cotton (loom-woven)
kente_sample_17.jpg,Kente,Ghana,"Purple, Orange, White",Worn,Modern fashion interpretation,Kente with bold purple diamonds and crisscross patterns,"Diamond grid, Crosshatch, Zigzag",Cotton (loom-woven)
kente_sample_18.jpg,Kente,Ghana,"Green, Red, Orange, Yellow",Worn,Wedding / engagement attire,Tailored dress combining kente patches and modern fit,"Patchwork, Stripe, Square motifs",Cotton-blend (loom-woven)
kancheepuram_silk_1.jpg,Kancheepuram Silk,India,"Black, Copper, Gold",Flat,Traditional ceremony,Zari border with geometric floral motifs,"Floral zari vines on pallu, small butta on body, temple-style gold border",Pure silk body with copper zari border
kancheepuram_silk_2.jpg,Kancheepuram Silk,India,"Green, Black, Gold",Flat,Festival wear,Peacock motifs and rich temple border,"Paisley (mango) motifs along the border, diamond lattice body",Silk with traditional gold zari (Korvai weave)
kancheepuram_silk_3.jpg,Kancheepuram Silk,India,"Purple, Red, Gold",Close-up,Wedding saree,Floral round butta with temple border,Circular chakra motifs and rich temple border,Handwoven silk with antique gold zari
kancheepuram_silk_4.jpg,Kancheepuram Silk,India,"Yellow, Purple, Gold",Folded/Flat,Temple visit,Modern zari lines with chakra border,Vertical zari stripes with traditional flower-row motifs,Mulberry silk with contrast violet border and gold zari
kancheepuram_silk_5.jpg,Kancheepuram Silk,India,"Orange, Green, Gold",Worn (Mannequin),Formal event saree,Contrast border with gold checkered motifs,Wavy temple borders with embedded lotus motifs,Traditional silk with copper zari
kancheepuram_silk_6.jpg,Kancheepuram Silk,India,"Beige, Brown, Black",Worn,Casual traditional attire,Subtle color with elegant temple stripes,"Tribal temple borders, diagonal stripe weave",Lightweight silk with matte zari
kancheepuram_silk_7.jpg,Kancheepuram Silk,India,"Lime Green, Purple, Gold",Worn,Cultural celebration,Bright silk with bold zari border,"Temple tower (gopuram) design on border, floral band on pallu",Soft silk with luminous golden zari
kancheepuram_silk_8.jpg,Kancheepuram Silk,India,"Green, Pink, Orange, Purple",Flat,Traditional wear,Bold checked pattern with temple borders and vibrant color blocking,"Temple-style border, checked body",Silk with gold thread border
kancheepuram_silk_9.jpg,Kancheepuram Silk,India,"Orange, Purple, Gold, Green",Worn,Wedding or festive attire,"Ornate traditional drape with temple border and zari detailing, accessorized with jewelry and backdrop idol","Floral, Temple-style border, Ikat-inspired pallu",Pure silk with gold zari
kancheepuram_silk_10.jpg,Kancheepuram Silk,India,"Purple, Gold",Flat,Formal ceremony or bridal wear,Rich peacock and floral zari border on purple silk with fine detailing and sheen,"Peacock, Floral vines, Geometric grid",Pure silk with gold zari brocade
kancheepuram_silk_11.jpg,Kancheepuram Silk,India,"Blue, Green, Gold",Flat Display,Cultural gatherings,Bright blue and green checks with gold floral border,"Checks, Floral motifs",Silk with Zari
kancheepuram_silk_12.jpg,Kancheepuram Silk,India,"Yellow, Green, Gold",Worn,Bharatanatyam costume,Traditional temple dancer’s saree style,"Temple border, Gold stripe",Silk with Zari
kancheepuram_silk_13.jpg,Kancheepuram Silk,India,"Black, Pink, Orange, Gold",Flat Display,Formal occasions,Vibrant geometric patterns with dark base,"Zigzag, Checked",Silk with Zari
kancheepuram_silk_14.jpg,Kancheepuram Silk,India,"Yellow, Green, Gold",Flat Display,Festive rituals,Golden motifs on vibrant yellow base,Floral brocade,Silk with Zari
kancheepuram_silk_15.jpg,Kancheepuram Silk,India,"Yellow, Black, Red, Gold",Worn,Pooja and festivals,Heavy border with traditional motifs,"Temple, Paisley, Brocade",Silk with Zari
kancheepuram_silk_16.jpg,Kancheepuram Silk,India,"Yellow, Green, Maroon, Gold",Worn,Marriage ceremony,Decorative border with classic checked body,"Checkered, Floral",Silk with Zari
kancheepuram_silk_17.jpg,Kancheepuram Silk,India,"Red, Gold",Flat Display,Religious celebration,Heavy brocade work on vibrant red silk,"Floral, Circular, Traditional",Silk with Zari
kancheepuram_silk_18.jpg,Kancheepuram Silk,India,"Yellow, Purple, Gold",Flat Display,Cultural performance,Elephant and floral border motifs,"Elephant, Floral, Traditional",Silk with Zari
