image_filename,fabric_name,country_of_origin,color_scheme,image_type,cultural_use,notes,motif_type,material
faso_dan_fani_01.jpg,Faso Dan Fani,Burkina Faso,"White, Blue",Flat,Everyday wear,Narrow horizontal stripes,"Stripes, Blocks",Cotton (handwoven)
faso_dan_fani_02.jpg,Faso Dan Fani,Burkina Faso,"Purple, White",Flat,Ceremonial,Woven by hand in Bobo-Dioulasso,"Stripes, Blocks",Cotton (handwoven)
faso_dan_fani_03.jpg,Faso Dan Fani,Burkina Faso,"Black, Teal, White",Close-up,Ceremonial,Variant with border motif,"Stripes, Blocks",Cotton (handwoven)
faso_dan_fani_04.jpg,Faso Dan Fani,Burkina Faso,"Yellow, Black",Worn,Traditional,Male outfit for national event,"Stripes, Blocks",Cotton (handwoven)
faso_dan_fani_05.jpg,Faso Dan Fani,Burkina Faso,"Red, Green",Worn,Ceremonial,Worn at Bobo Week fashion show,"Stripes, Blocks",Cotton (handwoven)
faso_dan_fani_06.jpg,Faso Dan Fani,Burkina Faso,"Pink, Black",Worn,Modern fashion,Fusion design with vertical lines,"Stripes, Blocks",Cotton (handwoven)
faso_dan_fani_07.jpg,Faso Dan Fani,Burkina Faso,"Blue, White",Flat,Formal,Symmetrical stripe pattern,"Stripes, Blocks",Cotton (handwoven)
faso_dafani_sample_8.jpg,Faso Dan Fani,Burkina Faso,"Red, Gold",Worn,"Ceremonial, Traditional Leadership","Rich embroidery, worn with cap and staff","Vertical stripes, Embroidery",Cotton (handwoven)
faso_dafani_sample_9.jpg,Faso Dan Fani,Burkina Faso,"White, Blue",Worn,Modern casual wear,"Minimal embroidery, bright background",Vertical stripes,Cotton (handwoven)
faso_dafani_sample_10.jpg,Faso Dan Fani,Burkina Faso,"Green, Orange, Beige",Worn,"Ceremonial (weddings, engagement)",Worn with head wrap and traditional beads,Diagonal stripes,Cotton blend
faso_dafani_sample_11.jpg,Faso Dan Fani,Burkina Faso,"Black, Yellow",Worn,Ceremonial or prestige events,"Bold vertical gold patterns, agbada style","Vertical stripes, Embroidery",Cotton (handwoven)
faso_dafani_sample_12.jpg,Faso Dan Fani,Burkina Faso,"White, Yellow, Black",Flat,Everyday wear and tailoring,"Presented laid flat, folded sleeves",Narrow vertical stripes,Cotton (handwoven)
faso_dafani_sample_13.jpg,Faso Dan Fani,Burkina Faso,"White, Yellow, Green, Blue",Worn,Modern interpretation of traditional attire,Photographed on green background,Multicolor vertical stripes,Cotton (handwoven)
faso_dafani_sample_14.jpg,Faso Dan Fani,Burkina Faso,"Blue, Black, White",Worn,Formal events,Model wearing traditional dress and beads,Stripes,Cotton blend
faso_dafani_sample_15.jpg,Faso Dan Fani,Burkina Faso,"Black, Purple, White",Flat,Tailoring / Cloth sales,Rolled and laid fabric view,Horizontal and vertical stripes,Cotton (handwoven)
faso_dafani_sample_16.jpg,Faso Dan Fani,Burkina Faso,"Blue, White",Flat,Tailoring / Cloth sales,Rolled and laid diagonally,Diagonal lines,Cotton (handwoven)
faso_dafani_sample_17.jpg,Faso Dan Fani,Burkina Faso,"Black, Yellow, Red, White",Flat,Festive wear,"Warm color palette, dynamic stripe thickness",Stripes,Cotton (handwoven)
faso_dafani_sample_18.jpg,Faso Dan Fani,Burkina Faso,"White, Yellow, Black",Flat,Formal,Elegant composition with horizontal woven details,Stripes,Cotton (handwoven)
