image_filename,fabric_name,country_of_origin,color_scheme,image_type,cultural_use,notes,motif_type,material
kancheepuram_silk_1.jpg,Kancheepuram Silk,India,"Black, Copper, Gold",Flat,Traditional ceremony,Zari border with geometric floral motifs,"Floral zari vines on pallu, small butta on body, temple-style gold border",Pure silk body with copper zari border
kancheepuram_silk_2.jpg,Kancheepuram Silk,India,"Green, Black, Gold",Flat,Festival wear,Peacock motifs and rich temple border,"Paisley (mango) motifs along the border, diamond lattice body",Silk with traditional gold zari (Korvai weave)
kancheepuram_silk_3.jpg,Kancheepuram Silk,India,"Purple, Red, Gold",Close-up,Wedding saree,Floral round butta with temple border,Circular chakra motifs and rich temple border,Handwoven silk with antique gold zari
kancheepuram_silk_4.jpg,Kancheepuram Silk,India,"Yellow, Purple, Gold",Folded/Flat,Temple visit,Modern zari lines with chakra border,Vertical zari stripes with traditional flower-row motifs,Mulberry silk with contrast violet border and gold zari
kancheepuram_silk_5.jpg,Kancheepuram Silk,India,"Orange, Green, Gold",Worn (Mannequin),Formal event saree,Contrast border with gold checkered motifs,Wavy temple borders with embedded lotus motifs,Traditional silk with copper zari
kancheepuram_silk_6.jpg,Kancheepuram Silk,India,"Beige, Brown, Black",Worn,Casual traditional attire,Subtle color with elegant temple stripes,"Tribal temple borders, diagonal stripe weave",Lightweight silk with matte zari
kancheepuram_silk_7.jpg,Kancheepuram Silk,India,"Lime Green, Purple, Gold",Worn,Cultural celebration,Bright silk with bold zari border,"Temple tower (gopuram) design on border, floral band on pallu",Soft silk with luminous golden zari
kancheepuram_silk_8.jpg,Kancheepuram Silk,India,"Green, Pink, Orange, Purple",Flat,Traditional wear,Bold checked pattern with temple borders and vibrant color blocking,"Temple-style border, checked body",Silk with gold thread border
kancheepuram_silk_9.jpg,Kancheepuram Silk,India,"Orange, Purple, Gold, Green",Worn,Wedding or festive attire,"Ornate traditional drape with temple border and zari detailing, accessorized with jewelry and backdrop idol","Floral, Temple-style border, Ikat-inspired pallu",Pure silk with gold zari
kancheepuram_silk_10.jpg,Kancheepuram Silk,India,"Purple, Gold",Flat,Formal ceremony or bridal wear,Rich peacock and floral zari border on purple silk with fine detailing and sheen,"Peacock, Floral vines, Geometric grid",Pure silk with gold zari brocade
kancheepuram_silk_11.jpg,Kancheepuram Silk,India,"Blue, Green, Gold",Flat Display,Cultural gatherings,Bright blue and green checks with gold floral border,"Checks, Floral motifs",Silk with Zari
kancheepuram_silk_12.jpg,Kancheepuram Silk,India,"Yellow, Green, Gold",Worn,Bharatanatyam costume,Traditional temple dancer’s saree style,"Temple border, Gold stripe",Silk with Zari
kancheepuram_silk_13.jpg,Kancheepuram Silk,India,"Black, Pink, Orange, Gold",Flat Display,Formal occasions,Vibrant geometric patterns with dark base,"Zigzag, Checked",Silk with Zari
kancheepuram_silk_14.jpg,Kancheepuram Silk,India,"Yellow, Green, Gold",Flat Display,Festive rituals,Golden motifs on vibrant yellow base,Floral brocade,Silk with Zari
kancheepuram_silk_15.jpg,Kancheepuram Silk,India,"Yellow, Black, Red, Gold",Worn,Pooja and festivals,Heavy border with traditional motifs,"Temple, Paisley, Brocade",Silk with Zari
kancheepuram_silk_16.jpg,Kancheepuram Silk,India,"Yellow, Green, Maroon, Gold",Worn,Marriage ceremony,Decorative border with classic checked body,"Checkered, Floral",Silk with Zari
kancheepuram_silk_17.jpg,Kancheepuram Silk,India,"Red, Gold",Flat Display,Religious celebration,Heavy brocade work on vibrant red silk,"Floral, Circular, Traditional",Silk with Zari
kancheepuram_silk_18.jpg,Kancheepuram Silk,India,"Yellow, Purple, Gold",Flat Display,Cultural performance,Elephant and floral border motifs,"Elephant, Floral, Traditional",Silk with Zari
